open;high;low;close;volume;marketCap;timestamp
0.3645387122;0.4023991244;0.3389079893;0.3600498794;466280.43;11731890.84;"2023-05-01T00:00:00.000Z"
0.3593957806;0.3626345667;0.3114895547;0.3246306714;447981.41;10577788.85;"2023-05-08T00:00:00.000Z"
0.3244508914;0.3301553385;0.2992651977;0.3061544707;415447.47;9975759.02;"2023-05-15T00:00:00.000Z"
0.3062327969;0.3073245373;0.282657773;0.2930313179;488111.76;9548153.27;"2023-05-22T00:00:00.000Z"
0.293001988;0.3048328474;0.2604788805;0.2726335538;542144.3;8883511.08;"2023-05-29T00:00:00.000Z"
0.2726679935;0.2747808729;0.225429955;0.2273487764;348648.45;9426607.34;"2023-06-05T00:00:00.000Z"
0.2274951206;0.2516331699;0.2199243056;0.249877559;283193.96;10360722.71;"2023-06-12T00:00:00.000Z"
0.2499151416;0.2682945578;0.245722827;0.2518302743;2370320.96;10441688.53;"2023-06-19T00:00:00.000Z"
0.2517933087;0.2565396305;0.2382225532;0.2515106101;2156809.96;10428434.23;"2023-06-26T00:00:00.000Z"
0.2520344164;0.2556115587;0.2048071506;0.2192995838;2473044.46;9092862.07;"2023-07-03T00:00:00.000Z"
0.2195013659;0.2599391215;0.2167971139;0.2583109567;2332997.29;10710398.35;"2023-07-10T00:00:00.000Z"
0.2583723206;0.2587965789;0.2298287258;0.2333211837;2323762.86;9674242.44;"2023-07-17T00:00:00.000Z"
0.2332632062;0.2414914847;0.2226003669;0.230324434;2284032.39;9549987.61;"2023-07-24T00:00:00.000Z"
0.2302665796;0.2349002803;0.2211443292;0.2238954625;2151452.85;9283421.9;"2023-07-31T00:00:00.000Z"
0.2239172914;0.2318243673;0.2213383321;0.2300680422;1870204.5;9539356.79;"2023-08-07T00:00:00.000Z"
0.2300772512;0.2300772512;0.1813130565;0.1987749515;7652965.19;8241845.18;"2023-08-14T00:00:00.000Z"
0.1986837979;0.2003204952;0.1889618326;0.19598453;7592950.42;8126145.38;"2023-08-21T00:00:00.000Z"
0.1959849361;0.2031141473;0.1829455246;0.1857689687;7666635.7;7702575.54;"2023-08-28T00:00:00.000Z"
0.1859426315;0.1954261077;0.1839375961;0.1877075169;7753215.37;7782953.94;"2023-09-04T00:00:00.000Z"
0.1876792586;0.1910695511;0.1759904583;0.1809318864;4041626.68;7502014.64;"2023-09-11T00:00:00.000Z"
0.1808281245;0.2081391518;0.1693819379;0.1828867226;2321124.82;7583068.39;"2023-09-18T00:00:00.000Z"
0.1830846223;0.1891468616;0.1737792012;0.1852264649;6341631.97;7680081.59;"2023-09-25T00:00:00.000Z"
0.185226942;0.1867162034;0.1741551007;0.1784649751;7461884.9;7399728.6;"2023-10-02T00:00:00.000Z"
